METTLER TOLEDO M300/M300ISM
M300 Data Collection
Date, Time, a Value, a Units,b Value, bUnits, c Value, c Units,d Value, d Units 

2022-05-15,?? 15:50:39,  6.910,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:54:52,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:55:03,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:55:13,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:55:23,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:55:33,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:55:43,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:55:53,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:56:03,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:56:14,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:56:24,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:56:34,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:56:44,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:56:54,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:57:04,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:57:14,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:57:25,  7.090,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:57:35,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:57:45,  6.930,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:57:55,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:58:05,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:58:15,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:58:25,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:58:36,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:58:46,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:58:56,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:59:06,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:59:16,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:59:26,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:59:37,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:59:47,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:59:57,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:00:07,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:00:17,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:00:27,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:00:37,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:00:48,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:00:58,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:01:08,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:01:18,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:01:28,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:01:38,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:01:49,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:01:59,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:02:09,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:02:19,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:02:29,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:02:39,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:02:49,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:03:00,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:03:10,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:03:20,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:03:30,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:03:40,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:03:51,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:04:01,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:04:11,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:04:21,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:04:31,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:04:42,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:04:52,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:05:02,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:05:12,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:05:22,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:05:32,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:05:43,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:05:53,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:06:03,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:06:13,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:06:23,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:06:33,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:06:43,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:06:54,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:07:04,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:07:14,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:07:24,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:07:34,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:07:44,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:07:54,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:08:05,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:08:15,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:08:25,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:08:35,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:08:45,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:08:55,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:09:05,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:09:15,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:09:26,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:09:36,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:09:46,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:09:56,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:10:06,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:10:16,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:10:26,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:10:37,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:10:47,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:10:57,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:11:07,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:11:17,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:11:27,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:11:38,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:11:48,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:11:58,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:12:08,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:12:18,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:12:28,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:12:38,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:12:49,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:12:59,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:13:09,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:13:19,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:13:29,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:13:39,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:13:49,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:14:00,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:14:10,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:14:20,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:14:30,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:14:40,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:14:50,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:15:01,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:15:11,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:15:21,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:15:31,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:15:41,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:15:51,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:16:02,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:16:12,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:16:22,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:16:32,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:16:42,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:16:52,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:17:02,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:17:13,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:17:23,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:17:33,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:17:43,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:17:53,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:18:03,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:18:14,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:18:24,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:18:34,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:18:44,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:18:54,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:19:04,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:19:14,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:19:25,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:19:35,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:19:45,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:19:55,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:20:05,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:20:16,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:20:26,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:20:36,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:20:46,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:20:56,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:21:06,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:21:17,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:21:27,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:21:37,  7.090,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:21:47,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:21:57,  6.930,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:22:07,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:22:18,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:22:28,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:22:38,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:22:48,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:22:58,  7.090,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:23:08,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:23:18,  6.930,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:23:29,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:23:39,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:23:49,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:23:59,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:24:09,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:24:19,  7.090,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:24:29,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:24:40,  6.930,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:24:50,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:25:00,  7.110,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:25:10,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:25:20,  6.930,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:25:30,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:25:41,  7.090,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:25:51,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:26:01,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:26:11,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:26:21,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:26:31,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:26:41,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:26:52,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:27:02,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:27:12,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:27:22,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:27:32,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:27:42,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:27:53,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:28:03,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:28:13,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:28:23,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:28:33,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:28:43,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:28:53,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:29:04,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:29:14,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:29:24,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:29:34,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:29:44,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:29:54,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:30:04,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:30:15,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:30:25,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:30:35,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:30:45,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:30:55,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:31:05,  7.090,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:31:16,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:31:26,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:31:36,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:31:46,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:31:56,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:32:06,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:32:16,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:32:27,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:32:37,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:32:47,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:32:57,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:33:07,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:33:17,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:33:28,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:33:38,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:33:48,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:33:58,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:34:08,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:34:18,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:34:28,  7.050,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:34:39,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:34:49,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:34:59,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:35:09,  7.090,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:35:19,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:35:29,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:35:39,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:35:50,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:36:00,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:36:10,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:36:20,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:36:30,  7.090,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:36:40,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:36:51,  6.930,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:37:01,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:37:11,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:37:21,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:37:31,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:37:41,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:37:51,  7.090,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 16:38:02,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
